dam_name,county,state,condition_assessment_standardized,hazard_standardized,last_inspection_date,year_dam_completed,latitude,longitude,state2
Maricopa Road Basin,Pinal_AZ,AZ,unsatisfactory,high,2018-02-21,1995,32.8825,-112.0497,Arizona
Millett Swale,Navajo_AZ,AZ,poor,high,2018-05-24,1958,34.43056,-110.04111,Arizona
Odell,Coconino_AZ,AZ,poor,high,2017-07-26,1978,34.93306,-111.63306000000001,Arizona
Stockton Wash Retarding,Graham_AZ,AZ,poor,high,2018-04-17,1964,32.79139,-109.68833000000001,Arizona
Walnut Canyon,Coconino_AZ,AZ,poor,high,2017-10-25,1881,35.166109999999996,-111.47583,Arizona
Matilija,Ventura_CA,CA,poor,high,2018-02-13,1949,34.4838,-119.3084,California
Misselbeck,Shasta_CA,CA,poor,high,2017-10-23,1920,40.5003,-122.6971,California
Moccasin Lower,Tuolumne_CA,CA,poor,high,2018-04-25,1930,37.8123,-120.3057,California
North Fork,Santa Clara_CA,CA,poor,high,2017-11-06,1939,37.0498,-121.2921,California
Oroville,Butte_CA,CA,unsatisfactory,high,2017-09-26,1968,39.5426,-121.4915,California
Adobe Creek,Bent_CO,CO,unsatisfactory,high,2017-03-31,1904,38.234999,-103.280555,Colorado
Apishapa,Las Animas_CO,CO,unsatisfactory,high,2017-07-27,1892,37.334998999999996,-104.77056,Colorado
Big Battlement,Delta_CO,CO,unsatisfactory,high,2017-08-10,1949,38.994999,-108.05221999999999,Colorado
Cucharas #5,Huerfano_CO,CO,unsatisfactory,high,2018-02-23,1913,37.748315999999996,-104.598293,Colorado
Goose Pasture Tarn,Summit_CO,CO,unsatisfactory,high,2018-06-15,1965,39.454999,-106.03222,Colorado
Grass Valley,Garfield_CO,CO,unsatisfactory,high,2018-04-02,1892,39.606669000000004,-107.66056,Colorado
Jefferson Lake,Park_CO,CO,unsatisfactory,high,2017-08-31,1951,39.450559000000005,-105.8625,Colorado
Leon Lake,Mesa_CO,CO,unsatisfactory,high,2017-07-27,1898,39.068385,-107.80221100000001,Colorado
Red Mesa Ward,La Plata_CO,CO,unsatisfactory,high,2017-10-05,1915,37.166669,-108.14222,Colorado
Sanchez,Costilla_CO,CO,unsatisfactory,high,2017-07-07,1911,37.113865999999994,-105.41063700000001,Colorado
Skeel,Denver_CO,CO,unsatisfactory,high,2018-02-13,1900,39.656665000000004,-104.94388799999999,Colorado
Smith,Jefferson_CO,CO,unsatisfactory,high,2018-03-02,1884,39.686771,-105.113413,Colorado
South Lake,El Paso_CO,CO,unsatisfactory,high,2017-04-18,1973,38.784999,-104.81056,Colorado
Tarryall,Park_CO,CO,unsatisfactory,high,2018-06-12,1929,39.223329,-105.60722,Colorado
Teller,El Paso_CO,CO,unsatisfactory,high,2017-11-02,1910,38.449999,-104.83389,Colorado
Two Buttes,Baca_CO,CO,unsatisfactory,high,2017-10-11,1908,37.635919,-102.538103,Colorado
Upper Long Lake,Jefferson_CO,CO,unsatisfactory,high,2018-05-09,1939,39.822839,-105.23563899999999,Colorado
Valley No. 1,El Paso_CO,CO,unsatisfactory,high,2017-04-18,1901,38.872499,-104.875,Colorado
Valley No. 2,El Paso_CO,CO,unsatisfactory,high,2017-04-18,1906,38.86472,-104.88028,Colorado
Vouga,Saguache_CO,CO,unsatisfactory,high,2018-05-24,1978,38.354999,-106.66389,Colorado
Walsenburg City Lake,Huerfano_CO,CO,unsatisfactory,high,2018-06-06,1910,37.596669,-104.85722,Colorado
Willow Springs #1,Jefferson_CO,CO,unsatisfactory,high,2018-02-14,1963,39.619136,-105.18049099999999,Colorado
Y T Ranch,Mesa_CO,CO,unsatisfactory,high,2018-04-10,1911,39.186669,-107.89388999999998,Colorado
Acme Pond Dam,Windham_CT,CT,poor,high,2014-12-16,1846,41.847117,-71.817674,Connecticut
Crystal Lake Dam,Middlesex_CT,CT,poor,high,2016-10-18,1850,41.52491,-72.638086,Connecticut
Freshwater Pond Dam,Hartford_CT,CT,poor,high,2014-09-04,1900,41.998535,-72.599696,Connecticut
Great Hill Reservior Dam,New Haven_CT,CT,poor,high,2014-11-06,1909,41.375508,-73.13170699999999,Connecticut
Hanover Reservoir Dam,New London_CT,CT,poor,high,2014-11-21,1900,41.647259000000005,-72.06059,Connecticut
North Grosvenordale Dam,Windham_CT,CT,poor,high,2017-09-12,1900,41.991859999999996,-71.895232,Connecticut
Oxoboxo Lake Dam,New London_CT,CT,poor,high,2016-12-07,1810,41.484653,-72.193208,Connecticut
Staffordville Reservoir Dam,Tolland_CT,CT,poor,high,2013-12-27,1850,41.996399,-72.260059,Connecticut
Sylvia'S Upper Pond Dam,New London_CT,CT,poor,high,1986-11-04,1870,41.360413,-71.909461,Connecticut
Williams Pond Dam,Hartford_CT,CT,poor,high,2014-10-02,1900,41.704142,-72.596811,Connecticut
Ingram Pond Dam,Sussex_DE,DE,poor,high,2017-05-02,0,38.588159999999995,-75.32668000000001,Delaware
Millsboro Pond Dam,Sussex_DE,DE,poor,high,2017-05-08,1920,38.59448,-75.29099000000001,Delaware
Moores Lake Dam,Kent_DE,DE,poor,high,2017-06-13,1967,39.126090000000005,-75.51846,Delaware
Shoals Branch Dam,Sussex_DE,DE,poor,high,2017-05-02,0,38.57824,-75.34449000000001,Delaware
Silver Lake Dam - Middletown,New Castle_DE,DE,poor,high,2017-06-20,1945,39.43801,-75.69339000000001,Delaware
L.P.Hill Dam #2,Columbia_FL,FL,unsatisfactory,high,1994-05-13,1954,30.168221999999997,-82.603778,Florida
L.P.Hill Dam 1,Columbia_FL,FL,unsatisfactory,high,1994-05-12,1966,30.171573,-82.60983399999999,Florida
4-J Farms Lower Lake Dam,Crawford_GA,GA,poor,high,2013-01-31,1974,32.61492,-83.94091,Georgia
Athens Waterworks Reservoir Dam,Clarke_GA,GA,poor,high,2017-03-22,1918,33.979167,-83.374444,Georgia
Atlanta Reservoir Dam No. 1,Fulton_GA,GA,poor,high,2017-07-05,1960,33.79425,-84.411528,Georgia
Baughs Crossroad Lake Dam,Troup_GA,GA,poor,high,2016-03-23,0,32.92,-85.05,Georgia
Bedgood'S Lake Dam,Clarke_GA,GA,poor,high,2013-02-14,1940,33.94719,-83.49779000000001,Georgia
Belair Lake Dam,Henry_GA,GA,poor,high,2016-01-12,0,33.575278000000004,-84.21583299999999,Georgia
Berry Reservoir Dam,Floyd_GA,GA,poor,high,2017-03-16,1938,34.325556,-85.263889,Georgia
Big Cedar Creek Ws Str # 32,Polk_GA,GA,poor,high,2016-01-26,0,33.9325,-85.267778,Georgia
Big Cedar Creek Ws Str # 41,Polk_GA,GA,poor,high,2016-01-26,1986,33.937778,-85.21777800000001,Georgia
Big Cedar Creek Ws Str # 48,Polk_GA,GA,poor,high,2016-03-24,1986,33.95151,-85.19098000000001,Georgia
Black Rock Mountain Lake Dam,Rabun_GA,GA,poor,high,2016-03-10,1974,34.923840000000006,-83.41216,Georgia
Blackmon Lake Dam,Muscogee_GA,GA,poor,high,2017-03-08,1955,32.57438,-85.00992,Georgia
Boleman Hill Road Pond Dam,Hart_GA,GA,poor,high,2013-02-21,1989,34.449417,-82.94255600000001,Georgia
Bradbury Lake Dam,Fayette_GA,GA,poor,high,2017-01-19,1958,33.505694,-84.522389,Georgia
Bull Creek Ws Str # 12,Muscogee_GA,GA,poor,high,2017-01-31,1962,32.54634,-84.91468,Georgia
Bull Creek Ws Str # 14,Muscogee_GA,GA,poor,high,2017-01-31,1969,32.53417,-84.94100999999999,Georgia
Burdine'S Pond Dam,Fannin_GA,GA,poor,high,2016-03-01,1965,34.833472,-84.36236099999999,Georgia
Burgess Lake Dam,Troup_GA,GA,poor,high,2016-03-23,0,32.928611,-84.893056,Georgia
Carriage Lake Dam,Fulton_GA,GA,poor,high,2016-02-04,1974,33.985875,-84.288011,Georgia
Cartecay River Ws Str # 3,Gilmer_GA,GA,poor,high,2016-03-30,1965,34.671079999999996,-84.31752,Georgia
Cartecay River Ws Str # 5,Gilmer_GA,GA,poor,high,2016-03-30,1967,34.667778000000006,-84.286111,Georgia
Cartecay River Ws Str # 6,Gilmer_GA,GA,poor,high,2016-03-30,1962,34.63747,-84.25655,Georgia
Cartecay River Ws Str # 7,Gilmer_GA,GA,poor,high,2016-03-30,1964,34.62508,-84.2335,Georgia
Chastain Lake Dam (Lower-East),Cobb_GA,GA,poor,high,2016-03-15,1954,34.04,-84.551389,Georgia
Chastain Lake Dam (Upper-West),Cobb_GA,GA,poor,high,2016-03-15,1952,34.041944,-84.556944,Georgia
Clark Apple Orchard #3,Habersham_GA,GA,poor,high,2016-03-09,0,34.57195,-83.60421,Georgia
Clear Lake Dam,White_GA,GA,poor,high,2013-02-06,0,34.60722,-83.74659,Georgia
Cochran Lake Dam,Cobb_GA,GA,unsatisfactory,high,2016-02-10,0,34.04423,-84.44527,Georgia
Conasauga Lake Dam,Floyd_GA,GA,poor,high,2017-03-16,1951,34.288333,-85.23472199999999,Georgia
Cowan Lake Dam,Rockdale_GA,GA,poor,high,2016-01-20,1956,33.601110999999996,-84.039167,Georgia
Dalton Utilities Impoundment Dike #3,Whitfield_GA,GA,poor,high,2017-08-17,0,34.789429999999996,-84.87576,Georgia
Daniels & Thomaselli Lake Dam,Fulton_GA,GA,poor,high,2016-02-17,1950,34.044103,-84.203317,Georgia
Dobbs Lake Dam,Cobb_GA,GA,poor,high,2017-01-12,1950,33.907139,-84.669744,Georgia
East Point Reservoir Dam,Fulton_GA,GA,poor,high,2017-01-19,1965,33.697139,-84.542556,Georgia
Edmondson Lake Dam,Troup_GA,GA,poor,high,2016-03-23,0,32.95384,-84.88951999999999,Georgia
Ellijay River W/S Str.  # 11,Gilmer_GA,GA,poor,high,2016-03-01,1967,34.826240000000006,-84.36847,Georgia
Ellijay River W/S Str. # 3 Dam,Gilmer_GA,GA,poor,high,2016-03-01,1967,34.78302,-84.45361,Georgia
Ellijay River W/S Str. #4 Dam,Gilmer_GA,GA,poor,high,2016-03-01,1968,34.78756,-84.42666700000001,Georgia
Ellijay River Ws Str # 10,Gilmer_GA,GA,poor,high,2016-03-01,1970,34.7846,-84.4026,Georgia
Ellijay River Ws Str # 12,Gilmer_GA,GA,poor,high,2016-03-01,1968,34.81054,-84.35593,Georgia
Ellijay River Ws Str # 9,Gilmer_GA,GA,poor,high,2016-03-02,1967,34.78003,-84.37666999999999,Georgia
Erin Lake  Dam,Dekalb_GA,GA,poor,high,2017-03-16,1960,33.867329999999995,-84.2303,Georgia
Erin'S Place Lake Dam,Columbia_GA,GA,poor,high,2017-03-16,1965,33.432140000000004,-82.21895,Georgia
Euharlee Creek Ws Str # 4,Polk_GA,GA,poor,high,2016-03-24,1968,33.94,-85.153889,Georgia
Forest Hills Lake Dam,Richmond_GA,GA,poor,high,2017-02-02,1986,33.478333,-82.059722,Georgia
Fowler Lake Dam,Gilmer_GA,GA,poor,high,2016-03-02,1968,34.786111,-84.48,Georgia
Frank C. Amerson Jr. Lake Dam,Bibb_GA,GA,poor,high,2016-03-09,1987,32.892222,-83.73944399999999,Georgia
Glen Emerald Lake Dam,Dekalb_GA,GA,poor,high,2017-02-15,1940,33.7133,-84.33288,Georgia
Glenn Lake Dam,Murray_GA,GA,poor,high,2017-03-09,0,34.743611,-84.736111,Georgia
Glenover Drive Lake Dam,Fulton_GA,GA,poor,high,2017-01-31,0,34.140556,-84.332778,Georgia
Goshen Plantation Lake Dam,Richmond_GA,GA,poor,high,2014-03-13,1950,33.3341,-81.9989,Georgia
Grandview Lake Dam,Pickens_GA,GA,poor,high,2017-01-10,1946,34.500556,-84.39893000000001,Georgia
Graves Lake Dam,Fayette_GA,GA,poor,high,2016-02-09,1972,33.275,-84.448611,Georgia
Harrison Lake Dam,Gilmer_GA,GA,poor,high,2016-03-02,0,34.737559999999995,-84.46967,Georgia
Hazel Creek W/S Str. #19,Habersham_GA,GA,poor,high,2016-03-10,1962,34.58827,-83.48331999999999,Georgia
Hazel Creek Ws Str # 7,Habersham_GA,GA,poor,high,2016-08-03,1962,34.53307,-83.51033000000001,Georgia
Hightower Creek Ws Str # 13,Towns_GA,GA,poor,high,2016-03-16,1960,34.96709,-83.60418,Georgia
Hogans Lake Dam,Gwinnett_GA,GA,poor,high,2016-02-25,0,34.001667,-83.966667,Georgia
Hulsey Pond Dam,Candler_GA,GA,poor,high,2013-01-23,0,32.41872,-82.0838,Georgia
Hunnicutt Lake Dam,Colquitt_GA,GA,poor,high,2013-01-22,2007,31.176111,-83.821389,Georgia
Imerys 5C Clay Impoundment Dam,Washington_GA,GA,poor,high,2017-03-07,1980,33.03642,-82.89908,Georgia
Indian Lake Dam,Colquitt_GA,GA,poor,high,2013-01-22,1956,31.22788,-83.74971,Georgia
Irene Lake Dam,Fulton_GA,GA,poor,high,2017-01-31,1967,34.085190000000004,-84.38695,Georgia
J. Stephens Lake Dam,Gilmer_GA,GA,poor,high,2016-03-02,1978,34.71705,-84.47837,Georgia
Jackson Creek Lake Dam,Cobb_GA,GA,poor,high,2016-02-09,0,33.991111,-84.391111,Georgia
Keeter Lake Dam,Cherokee_GA,GA,poor,high,2017-03-15,0,34.189528,-84.515556,Georgia
Kiker Lake Dam,Gilmer_GA,GA,poor,high,2016-03-03,1988,34.647472,-84.51141700000001,Georgia
Kings Cliff Lake Dam,Dekalb_GA,GA,poor,high,2017-04-07,0,33.85771,-84.25952,Georgia
Kozisek Lake Dam,Fayette_GA,GA,poor,high,2017-01-19,1960,33.493583,-84.454972,Georgia
Lake Ashley Dam,Carroll_GA,GA,poor,high,2016-01-26,1972,33.65765,-84.923417,Georgia
Lake At Ansley Dam,Fulton_GA,GA,poor,high,2017-01-31,2000,34.085833,-84.40527800000001,Georgia
Lake Cindy Dam,Henry_GA,GA,poor,high,2017-02-16,1961,33.41149,-84.30203,Georgia
Lake Dow Dam,Henry_GA,GA,poor,high,2016-01-27,1974,33.446667,-84.07305600000001,Georgia
Lake Dow North Dam,Henry_GA,GA,poor,high,2016-01-27,1989,33.46553,-84.06459,Georgia
Lake Erma Dam,Henry_GA,GA,poor,high,2017-02-01,1961,33.456944,-84.262222,Georgia
Lake Forrest Dam,Fulton_GA,GA,poor,high,2016-02-11,0,33.881028,-84.38730600000001,Georgia
Lake Franklin Dam,Harris_GA,GA,poor,high,2017-02-01,1935,32.82741,-84.77665999999999,Georgia
Lake George Dam,Carroll_GA,GA,poor,high,2016-01-26,1968,33.6153,-84.96600000000001,Georgia
Lake Kathy Dam,Whitfield_GA,GA,poor,high,2017-03-09,1950,34.89846,-85.00739,Georgia
Lake Rockdale Dam,Rockdale_GA,GA,poor,high,2016-01-20,1961,33.704167,-83.979722,Georgia
Lake Swan Dam,Paulding_GA,GA,poor,high,2017-01-12,1989,33.84895,-84.81728000000001,Georgia
Lake Wildwood Dam,Bibb_GA,GA,poor,high,2017-08-29,1970,32.86894,-83.763056,Georgia
Lakefield Commons Lake Dam,Rockdale_GA,GA,poor,high,2016-01-20,1950,33.638611,-84.01083299999999,Georgia
Lakeside Dam,Bibb_GA,GA,poor,high,2016-03-08,1890,32.84537,-83.57728,Georgia
Lakeview Plantation Dam,Gwinnett_GA,GA,poor,high,2016-01-27,0,33.89522,-83.89412,Georgia
Laura Lake Dam,Cobb_GA,GA,poor,high,2016-03-15,1951,34.005944,-84.554778,Georgia
Lawson Lake Dam,Monroe_GA,GA,poor,high,2016-03-08,0,32.968333,-83.733056,Georgia
Little River W/S  Str. #34,Fulton_GA,GA,poor,high,2017-01-31,1964,34.108056,-84.35333299999999,Georgia
Little River W/S Str. #25,Fulton_GA,GA,poor,high,2017-01-31,1960,34.15675,-84.30343,Georgia
Little River Watershed Structure No. 31,Fulton_GA,GA,poor,high,2017-06-07,1962,34.128056,-84.295278,Georgia
Little River Ws Str # 39,Fulton_GA,GA,poor,high,2017-01-31,1953,34.083139,-84.39608299999999,Georgia
Little Sandy Trail Creek Ws Str # 1,Madison_GA,GA,poor,high,2017-01-24,1971,34.101944,-83.348056,Georgia
Little Sandy-Trail Creek W/S Str. #2,Madison_GA,GA,poor,high,2017-01-24,1971,34.09867,-83.36806,Georgia
Long Swamp Creek Ws Str # 14,Pickens_GA,GA,poor,high,2017-01-25,1964,34.42433,-84.29733,Georgia
Long Swamp Creek Ws Str # 8,Pickens_GA,GA,poor,high,2017-01-25,1964,34.44104,-84.33051,Georgia
Long Swamp Creek Ws Str # 9,Pickens_GA,GA,poor,high,2017-01-25,1967,34.45406,-84.35423,Georgia
Lookout Lake Dam,Dade_GA,GA,poor,high,2017-03-16,1951,34.80607,-85.47733000000001,Georgia
Lovejoy Lake Dam,Gilmer_GA,GA,poor,high,2016-03-02,1970,34.67907,-84.40311,Georgia
Lower Little Tallapoosa Ws Str # 78,Haralson_GA,GA,poor,high,2017-01-18,1974,33.694417,-85.11775,Georgia
Lower Yarbrough Lake Dam,Washington_GA,GA,poor,high,2017-03-07,1960,32.97978,-82.77614,Georgia
Margaret Phillips Lake Dam,Fayette_GA,GA,poor,high,2017-01-19,1960,33.497778000000004,-84.452861,Georgia
Mcclendon Lake Dam,Haralson_GA,GA,poor,high,2017-02-09,0,33.731722,-85.131389,Georgia
Mcknight Lake Dam,Coweta_GA,GA,poor,high,2016-02-09,1972,33.26324,-84.56727,Georgia
Melody Lakes Dam,Harris_GA,GA,poor,high,2017-03-09,1925,32.69748,-84.71723,Georgia
Mill Glen Lake Dam,Douglas_GA,GA,poor,high,2016-01-14,0,33.702778,-84.751667,Georgia
Mill-Canton Creek W/S Str. # 6,Cherokee_GA,GA,poor,high,2017-01-31,1964,34.17066,-84.44969,Georgia
Moon Lake Dam,Henry_GA,GA,poor,high,2017-02-01,0,33.463440000000006,-84.16045,Georgia
Mountaintown Creek Ws Str # 1,Gilmer_GA,GA,poor,high,2016-03-03,1965,34.78743,-84.53245,Georgia
Mountaintown Creek Ws Str # 2,Gilmer_GA,GA,poor,high,2016-03-03,1961,34.811389,-84.55444399999999,Georgia
Mountaintown Creek Ws Str # 4,Gilmer_GA,GA,poor,high,2016-03-30,1961,34.726,-84.63816,Georgia
N. Ga. Rendering Plant Oxidation Pond Dam,Forsyth_GA,GA,poor,high,2017-03-28,1960,34.280833,-84.053611,Georgia
Nelson Hill Subdivision Lake Dam,Lowndes_GA,GA,poor,high,2013-01-23,0,30.924166999999997,-83.323611,Georgia
Nicholson Lake Dam,Clayton_GA,GA,poor,high,2016-01-12,1943,33.584444,-84.274722,Georgia
Noonday Creek Ws Str # 17,Cobb_GA,GA,poor,high,2016-03-16,1956,34.07585,-84.55301999999999,Georgia
Noonday Creek Ws Str # 4,Cobb_GA,GA,poor,high,2016-03-15,0,34.06395,-84.54451,Georgia
North Fork Broad River Ws Str # 1,Stephens_GA,GA,poor,high,2016-03-10,1958,34.571028000000005,-83.3637,Georgia
North Fork Broad River Ws Str # 13,Stephens_GA,GA,poor,high,2013-02-21,1956,34.49905,-83.23629,Georgia
North Fork Broad River Ws Str # 5,Stephens_GA,GA,poor,high,2013-02-21,1955,34.475,-83.253889,Georgia
Odom Lake Dam,Worth_GA,GA,poor,high,2013-01-22,1965,31.540306,-83.866794,Georgia
Palmetto Creek Structure # 1 Dam,Harris_GA,GA,poor,high,2017-03-08,1960,32.788056,-84.863333,Georgia
Parker Lake Dam,Whitfield_GA,GA,poor,high,2016-03-22,1981,34.635,-84.97027800000001,Georgia
Pegamore Lake Dam,Paulding_GA,GA,poor,high,2017-03-21,1964,34.00671,-84.93128,Georgia
Pfau Lake Dam,White_GA,GA,poor,high,2013-02-06,0,34.582221999999994,-83.731944,Georgia
Piedmont Lake Dam,Harris_GA,GA,poor,high,2017-04-08,0,32.800278000000006,-85.001667,Georgia
Pine Log Creek Dam No. 86,Gordon_GA,GA,poor,high,2016-03-22,0,34.4846,-84.85865,Georgia
Pine Log Creek Watershed Str #66,Bartow_GA,GA,poor,high,2016-03-22,1969,34.308611,-84.726111,Georgia
Plantation Subdivision Lake Dam,Douglas_GA,GA,poor,high,2016-01-14,0,33.686944,-84.73208299999999,Georgia
Posey Lake Dam,Rabun_GA,GA,poor,high,2016-03-10,0,34.978982,-83.453284,Georgia
Potato Creek W/S Str. #66,Pike_GA,GA,poor,high,2017-02-16,1961,33.06751,-84.29029,Georgia
Pumpkinvine Creek  Ws Str  # 50,Paulding_GA,GA,poor,high,2017-01-12,1958,33.89775,-84.85843,Georgia
Pumpkinvine Creek W/S Str. # 2 Dam,Bartow_GA,GA,poor,high,2017-03-21,1954,34.09313,-84.80404,Georgia
Pumpkinvine Creek W/S Str. # 3,Paulding_GA,GA,poor,high,2017-01-12,1955,33.927222,-84.82583299999999,Georgia
Pumpkinvine Creek W/S Str. #26,Paulding_GA,GA,poor,high,2017-01-12,1958,33.859444,-84.871667,Georgia
Pumpkinvine Creek Ws Str #1,Paulding_GA,GA,poor,high,2017-03-21,1954,34.082221999999994,-84.79333299999999,Georgia
Rainbow Lake Dam,Gilmer_GA,GA,poor,high,2016-03-03,1960,34.749829999999996,-84.60313000000001,Georgia
Rainbow Lake Dam,Lumpkin_GA,GA,poor,high,2016-03-09,1984,34.625417,-83.973889,Georgia
Ridge Brooke Lake Dam,Paulding_GA,GA,poor,high,2017-01-12,0,33.80614,-84.84891999999999,Georgia
Rocky Comfort W/S Str. #50,Warren_GA,GA,poor,high,2017-02-01,1968,33.4225,-82.666944,Georgia
Roskin Lake Dam,Lumpkin_GA,GA,poor,high,2016-03-17,0,34.44167,-83.95444,Georgia
Sallacoa Creek Watershed Dam #77,Gordon_GA,GA,unsatisfactory,high,2016-03-22,1973,34.52632,-84.69771999999999,Georgia
Sandy Creek Ws Structure  #23,Jackson_GA,GA,poor,high,2017-01-24,1963,34.139444,-83.40916700000001,Georgia
Sandy Creek Ws Structure # 12,Jackson_GA,GA,poor,high,2017-01-24,1962,34.147222,-83.376389,Georgia
Sandy Creek Ws Structure # 15,Jackson_GA,GA,poor,high,2017-01-24,1962,34.176944,-83.401944,Georgia
Sautee Creek W/S Str. #12,White_GA,GA,poor,high,2017-01-11,1958,34.72379,-83.67477,Georgia
Sautee Creek W/S Str. #13,White_GA,GA,poor,high,2017-01-11,1960,34.70655,-83.67334,Georgia
Seagraves Mill Pond Dam,Madison_GA,GA,poor,high,2017-01-24,1970,34.09644,-83.35618000000001,Georgia
Sequoyah Lake Dam,Pickens_GA,GA,poor,high,2017-01-24,1925,34.544167,-84.37138900000001,Georgia
Settingdown Creek Sub Ws Str # 27,Forsyth_GA,GA,poor,high,2016-01-14,1958,34.2682,-84.25200000000001,Georgia
Settingdown Creek Ws Str # 25,Forsyth_GA,GA,poor,high,2016-01-14,1954,34.264167,-84.186111,Georgia
Settingdown Creek Ws Str # 30 A,Forsyth_GA,GA,poor,high,2016-01-14,1958,34.246666999999995,-84.220556,Georgia
Settingdown Creek Ws Str # 54,Forsyth_GA,GA,poor,high,2017-03-28,1954,34.309722,-84.100278,Georgia
